last_updated,notes,rankings
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'ESP', 'datagolf_rank': 76, 'dg_id': 5689, 'dg_skill_estimate': 0.474535398987885, 'owgr_rank': 430, 'player_name': 'Garcia, Sergio', 'primary_tour': 'LIV'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 77, 'dg_id': 6169, 'dg_skill_estimate': 0.468547171533835, 'owgr_rank': 136, 'player_name': 'Kuchar, Matt', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'KOR', 'datagolf_rank': 78, 'dg_id': 14459, 'dg_skill_estimate': 0.466262189464495, 'owgr_rank': 43, 'player_name': 'An, Byeong Hun', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'BEL', 'datagolf_rank': 79, 'dg_id': 14181, 'dg_skill_estimate': 0.460642882584059, 'owgr_rank': 35, 'player_name': 'Detry, Thomas', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'AUS', 'datagolf_rank': 80, 'dg_id': 7649, 'dg_skill_estimate': 0.459632499025841, 'owgr_rank': 501, 'player_name': 'Leishman, Marc', 'primary_tour': 'LIV'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 81, 'dg_id': 32457, 'dg_skill_estimate': 0.459214938755249, 'owgr_rank': 81, 'player_name': 'Keefer, Johnny', 'primary_tour': 'KFT'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'RSA', 'datagolf_rank': 82, 'dg_id': 18103, 'dg_skill_estimate': 0.454724648572329, 'owgr_rank': 69, 'player_name': 'Bezuidenhout, Christiaan', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'RSA', 'datagolf_rank': 83, 'dg_id': 14424, 'dg_skill_estimate': 0.454142757611481, 'owgr_rank': 193, 'player_name': 'Burmester, Dean', 'primary_tour': 'LIV'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'ENG', 'datagolf_rank': 84, 'dg_id': 20706, 'dg_skill_estimate': 0.453844549185121, 'owgr_rank': 89, 'player_name': 'Wallace, Matt', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 85, 'dg_id': 16283, 'dg_skill_estimate': 0.452975358325185, 'owgr_rank': 86, 'player_name': 'Rodgers, Patrick', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 86, 'dg_id': 21891, 'dg_skill_estimate': 0.451340353293735, 'owgr_rank': 98, 'player_name': 'Kitayama, Kurt', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'DEN', 'datagolf_rank': 87, 'dg_id': 23838, 'dg_skill_estimate': 0.437938768361834, 'owgr_rank': 68, 'player_name': 'Hojgaard, Rasmus', 'primary_tour': 'PGA'}"
