last_updated,players
2025-06-09 16:00:33 UTC,"{'dg_id': 27774, 'driving_acc': -0.054, 'driving_dist': 16.071, 'player_name': 'Gotterup, Chris', 'sg_app': 0.082, 'sg_arg': 0.045, 'sg_ott': 0.538, 'sg_putt': -0.05, 'sg_total': 0.615}"
2025-06-09 16:00:33 UTC,"{'dg_id': 29433, 'driving_acc': -0.019, 'driving_dist': 0.611, 'player_name': 'Bridgeman, Jacob', 'sg_app': 0.115, 'sg_arg': 0.035, 'sg_ott': -0.002, 'sg_putt': 0.437, 'sg_total': 0.585}"
2025-06-09 16:00:33 UTC,"{'dg_id': 11276, 'driving_acc': 0.002, 'driving_dist': -0.166, 'player_name': 'Horschel, Billy', 'sg_app': 0.203, 'sg_arg': 0.109, 'sg_ott': 0.062, 'sg_putt': 0.202, 'sg_total': 0.577}"
2025-06-09 16:00:33 UTC,"{'dg_id': 20706, 'driving_acc': -0.013, 'driving_dist': 3.466, 'player_name': 'Wallace, Matt', 'sg_app': 0.06, 'sg_arg': 0.391, 'sg_ott': 0.101, 'sg_putt': -0.003, 'sg_total': 0.549}"
2025-06-09 16:00:33 UTC,"{'dg_id': 21891, 'driving_acc': -0.031, 'driving_dist': 10.97, 'player_name': 'Kitayama, Kurt', 'sg_app': 0.319, 'sg_arg': 0.137, 'sg_ott': 0.329, 'sg_putt': -0.242, 'sg_total': 0.542}"
2025-06-09 16:00:33 UTC,"{'dg_id': 18586, 'driving_acc': 0.054, 'driving_dist': 1.821, 'player_name': 'Smith, Jordan', 'sg_app': 0.136, 'sg_arg': -0.116, 'sg_ott': 0.529, 'sg_putt': -0.011, 'sg_total': 0.538}"
2025-06-09 16:00:33 UTC,"{'dg_id': 14459, 'driving_acc': -0.053, 'driving_dist': 11.206, 'player_name': 'An, Byeong Hun', 'sg_app': 0.14, 'sg_arg': 0.186, 'sg_ott': 0.259, 'sg_putt': -0.057, 'sg_total': 0.527}"
2025-06-09 16:00:33 UTC,"{'dg_id': 16394, 'driving_acc': -0.055, 'driving_dist': 6.79, 'player_name': 'Jaeger, Stephan', 'sg_app': 0.271, 'sg_arg': 0.178, 'sg_ott': -0.15, 'sg_putt': 0.206, 'sg_total': 0.506}"
2025-06-09 16:00:33 UTC,"{'dg_id': 21944, 'driving_acc': -0.024, 'driving_dist': 6.923, 'player_name': 'Moore, Taylor', 'sg_app': 0.016, 'sg_arg': 0.215, 'sg_ott': 0.171, 'sg_putt': 0.078, 'sg_total': 0.481}"
2025-06-09 16:00:33 UTC,"{'dg_id': 14424, 'driving_acc': -0.07, 'driving_dist': 17.312, 'player_name': 'Burmester, Dean', 'sg_app': 0.208, 'sg_arg': 0.045, 'sg_ott': 0.382, 'sg_putt': -0.156, 'sg_total': 0.479}"
